unique_registros_ID,voucher,genus,species,subspecies,if_hybrid,sex,Municipality-Department-Country,locality,lat_dec,lon_dec,elev_min,elev_max,elev_unit,day,month,year,date_if_string,collector,collection
26414,4981,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Mera, Morona Santiago, Ecuador",Puyo - Macas km15-30 PA,-1.66,-78.01,NA,NA,m,NA,NA,1992,6-May,NA,FLMNH
26415,1227,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,1000,1000,m,4,Jan,1990,NA,NA,FLMNH
26416,5085,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,1000,1000,m,NA,Dec,1991,NA,NA,FLMNH
26417,5084,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,800,800,m,26,May,1991,NA,NA,FLMNH
26418,4451,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,1000,1000,m,30,Jul,1991,NA,"Buche, M.",FLMNH
26419,4577,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,800,800,m,2,Jun,1991,NA,NA,FLMNH
26420,5076,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,1000,1000,m,18,Nov,1991,NA,NA,FLMNH
26421,4999,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Santa Clara, Pastaza, Ecuador",Puyo - Tena rd km 25 PA,-1.33,-77.93,1100,1100,m,NA,NA,1992,6-May,NA,FLMNH
26422,9490,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Santa Clara, Pastaza, Ecuador",Puyo - Tena rd km 31 PA,-1.32,-77.9,NA,NA,m,NA,Nov,1995,NA,NA,FLMNH
26423,9470,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Pastaza, Pastaza, Ecuador",Puyo - Tena rd km 19 PA,-1.37,-77.94,NA,NA,m,NA,Nov,1995,NA,NA,FLMNH
26424,4582,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,800,800,m,10,Jun,1991,NA,NA,FLMNH
26425,5089,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,1000,1000,m,15,Dec,1991,NA,NA,FLMNH
26426,5090,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,1000,1000,m,NA,Dec,1991,NA,NA,FLMNH
26427,1232,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Bobonaza Rio PA,-1.46,-77.83,NA,NA,m,24,Jun,1985,NA,NA,FLMNH
26428,4581,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,1000,1000,m,30,Jul,1991,NA,"Buche, M.",FLMNH
26429,4975,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Mera, Morona Santiago, Ecuador",Puyo - Macas km15-30 PA,-1.66,-78.01,NA,NA,m,NA,NA,1992,6-May,NA,FLMNH
26430,4584,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,800,800,m,18,Jun,1991,NA,NA,FLMNH
26431,9480,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Canelos rio Bo ECU PA,-1.58,-77.75,NA,NA,m,NA,Nov,1995,NA,NA,FLMNH
26432,4457,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,800,800,m,28,Jun,1991,NA,NA,FLMNH
26433,9070,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Canelos rio Bo ECU PA,-1.58,-77.75,NA,NA,m,NA,May,1995,NA,NA,FLMNH
26434,4583,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,800,800,m,12,Jun,1991,NA,NA,FLMNH
26435,4976,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Mera, Morona Santiago, Ecuador",Puyo - Macas km15-30 PA,-1.66,-78.01,NA,NA,m,NA,NA,1992,6-May,NA,FLMNH
26436,1233,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Santa Clara, Pastaza, Ecuador",Llandia Rio PA,-1.33,-77.93,1000,1000,m,NA,NA,NA,NA,Velástegui.,FLMNH
26437,5088,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,1000,1000,m,NA,Dec,1991,NA,NA,FLMNH
26438,1231,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,1000,1000,m,2,Jan,1990,NA,"Buche, M.",FLMNH
26439,9066,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Apuya,-1.1,-77.78,NA,NA,m,NA,Jul,1995,NA,NA,FLMNH
26440,9049,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Apuya,-1.1,-77.78,NA,NA,m,NA,Jul,1995,NA,NA,FLMNH
26443,1241,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Latas,-1.03,-77.73,NA,NA,m,17,Jul,1988,NA,NA,FLMNH
26444,1240,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Puyo PA,-1.47,-77.98,NA,NA,m,NA,NA,1990,NA,NA,FLMNH
26445,9112,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Baños de Agua Santa, Tungurahua, Ecuador",Topo TU,-1.42,-78.17,1200,1200,m,NA,Jun,1994,NA,NA,FLMNH
26446,9069,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Apuya,-1.1,-77.78,NA,NA,m,NA,Jul,1995,NA,NA,FLMNH
26447,6590,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Latas,-1.03,-77.73,NA,NA,m,7,Aug,1992,NA,NA,FLMNH
26448,6589,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Latas,-1.03,-77.73,NA,NA,m,31,Jan,1993,NA,NA,FLMNH
26449,1250,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Puerto Misahualli,-1.03,-77.67,500,500,m,18,Aug,1988,NA,NA,FLMNH
26450,9418,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Santa Clara, Pastaza, Ecuador",Llandia Rio PA,-1.33,-77.93,900,900,m,6,Oct,1995,NA,"Neild, A.",FLMNH
26451,4587,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Apuya,-1.1,-77.78,NA,NA,m,10,Jun,1991,NA,NA,FLMNH
26452,5227,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Apuya,-1.1,-77.78,NA,NA,m,NA,May,1991,NA,NA,FLMNH
26453,4588,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Diez de Agosto PA,-1.45,-77.9,NA,NA,m,26,Feb,1991,NA,NA,FLMNH
26454,4586,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Loreto, Orellana, Ecuador",San Jose,-0.5,-77.28,600,600,m,4,Mar,1991,NA,NA,FLMNH
26455,1251,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Puerto Misahualli,-1.03,-77.67,500,500,m,NA,NA,1990,NA,NA,FLMNH
26456,9068,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Apuya,-1.1,-77.78,NA,NA,m,NA,Jul,1995,NA,NA,FLMNH
26457,4453,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Apuya,-1.1,-77.78,NA,NA,m,8,May,1991,NA,NA,FLMNH
26458,9057,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Apuya,-1.1,-77.78,NA,NA,m,NA,Jul,1995,NA,NA,FLMNH
26459,9060,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Tena, Napo, Ecuador",Apuya,-1.1,-77.78,NA,NA,m,NA,Jul,1995,NA,NA,FLMNH
26460,1252,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Puerto Misahualli,-1.03,-77.67,500,500,m,NA,NA,1990,NA,NA,FLMNH
26461,9067,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Tena, Napo, Ecuador",Apuya,-1.1,-77.78,NA,NA,m,NA,Jul,1995,NA,NA,FLMNH
26462,9462,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Santa Clara, Pastaza, Ecuador",Puyo - Tena rd km 31 PA,-1.32,-77.9,NA,NA,m,NA,Nov,1995,NA,NA,FLMNH
26463,4585,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Tena, Napo, Ecuador",Apuya,-1.1,-77.78,NA,NA,m,8,May,1991,NA,NA,FLMNH
26464,1256,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Tena, Napo, Ecuador",Tena,-0.98,-77.82,NA,NA,m,NA,NA,1990,NA,NA,FLMNH
